,facility_name,total_providers,avg_years_experience,total_service_charge,total_insurance_paid
0,Northside Urgent Care,,,,
1,City General Hospital,,,,
2,City General Hospital,,,,
3,Northside Urgent Care,,,,
4,Regional Medical Center,,,,
5,Northside Urgent Care,,,,
6,Northside Urgent Care,,,,
7,City General Hospital,,,,
8,Northside Urgent Care,,,,
9,Surgical Specialty Center,,,,
10,Cardiology Specialty Center,,,,
11,Oncology Treatment Center,,,,
12,Northside Urgent Care,,,,
13,Regional Medical Center,,,,
14,Cardiology Specialty Center,,,,
15,Community Health Clinic,,,,
16,Emergency Medical Center,,,,
17,Oncology Treatment Center,,,,
18,Oncology Treatment Center,,,,
19,City General Hospital,,,,
20,Emergency Medical Center,,,,
21,Regional Medical Center,,,,
22,City General Hospital,,,,
23,Pediatric Care Center,,,,
24,Cardiology Specialty Center,,,,
25,Community Health Clinic,,,,
26,Cardiology Specialty Center,,,,
27,Emergency Medical Center,,,,
28,Regional Medical Center,,,,
29,City General Hospital,,,,
30,Emergency Medical Center,,,,
31,Pediatric Care Center,,,,
32,Primary Care Clinic,,,,
33,Northside Urgent Care,,,,
34,Northside Urgent Care,,,,
35,Primary Care Clinic,,,,
36,Oncology Treatment Center,,,,
37,Primary Care Clinic,,,,
38,Regional Medical Center,,,,
39,Surgical Specialty Center,,,,
40,City General Hospital,,,,
41,Cardiology Specialty Center,,,,
42,Community Health Clinic,,,,
43,Northside Urgent Care,,,,
44,Community Health Clinic,,,,
45,Emergency Medical Center,,,,
46,Surgical Specialty Center,,,,
47,City General Hospital,,,,
48,Primary Care Clinic,,,,
49,Surgical Specialty Center,,,,
50,Cardiology Specialty Center,,,,
51,Northside Urgent Care,,,,
52,Emergency Medical Center,,,,
53,Community Health Clinic,,,,
54,Northside Urgent Care,,,,
55,Surgical Specialty Center,,,,
56,City General Hospital,,,,
57,Community Health Clinic,,,,
58,Community Health Clinic,,,,
59,Oncology Treatment Center,,,,
60,Oncology Treatment Center,,,,
61,Oncology Treatment Center,,,,
62,Cardiology Specialty Center,,,,
63,Regional Medical Center,,,,
64,Emergency Medical Center,,,,
65,Northside Urgent Care,,,,
66,Surgical Specialty Center,,,,
67,Oncology Treatment Center,,,,
68,Oncology Treatment Center,,,,
69,Northside Urgent Care,,,,
70,Northside Urgent Care,,,,
71,Northside Urgent Care,,,,
72,Oncology Treatment Center,,,,
73,Surgical Specialty Center,,,,
74,Northside Urgent Care,,,,
75,Regional Medical Center,,,,
76,Emergency Medical Center,,,,
77,Pediatric Care Center,,,,
78,Oncology Treatment Center,,,,
79,Regional Medical Center,,,,
80,Cardiology Specialty Center,,,,
81,Primary Care Clinic,,,,
82,Pediatric Care Center,,,,
83,Oncology Treatment Center,,,,
84,City General Hospital,,,,
85,Oncology Treatment Center,,,,
86,Primary Care Clinic,,,,
87,Pediatric Care Center,,,,
88,Northside Urgent Care,,,,
89,Regional Medical Center,,,,
90,Oncology Treatment Center,,,,
91,Pediatric Care Center,,,,
92,Regional Medical Center,,,,
93,City General Hospital,,,,
94,Primary Care Clinic,,,,
95,Pediatric Care Center,,,,
96,Community Health Clinic,,,,
97,Surgical Specialty Center,,,,
98,Pediatric Care Center,,,,
99,Oncology Treatment Center,,,,
100,Regional Medical Center,,,,
101,Primary Care Clinic,,,,
102,City General Hospital,,,,
103,Emergency Medical Center,,,,
104,Pediatric Care Center,,,,
105,Oncology Treatment Center,,,,
106,Primary Care Clinic,,,,
107,City General Hospital,,,,
108,Pediatric Care Center,,,,
109,Community Health Clinic,,,,
110,Pediatric Care Center,,,,
111,Regional Medical Center,,,,
112,Oncology Treatment Center,,,,
113,Cardiology Specialty Center,,,,
114,Cardiology Specialty Center,,,,
115,Oncology Treatment Center,,,,
116,Community Health Clinic,,,,
117,Cardiology Specialty Center,,,,
118,Northside Urgent Care,,,,
119,Emergency Medical Center,,,,
120,Surgical Specialty Center,,,,
121,Pediatric Care Center,,,,
122,Primary Care Clinic,,,,
123,Pediatric Care Center,,,,
124,Oncology Treatment Center,,,,
125,Regional Medical Center,,,,
126,Emergency Medical Center,,,,
127,Surgical Specialty Center,,,,
128,City General Hospital,,,,
129,City General Hospital,,,,
130,Primary Care Clinic,,,,
131,Primary Care Clinic,,,,
132,Regional Medical Center,,,,
133,Regional Medical Center,,,,
134,Primary Care Clinic,,,,
135,Northside Urgent Care,,,,
136,Pediatric Care Center,,,,
137,City General Hospital,,,,
138,Cardiology Specialty Center,,,,
139,Pediatric Care Center,,,,
140,Surgical Specialty Center,,,,
141,Emergency Medical Center,,,,
142,City General Hospital,,,,
143,Oncology Treatment Center,,,,
144,Northside Urgent Care,,,,
145,Emergency Medical Center,,,,
146,Oncology Treatment Center,,,,
147,Oncology Treatment Center,,,,
148,City General Hospital,,,,
149,Surgical Specialty Center,,,,
150,Cardiology Specialty Center,,,,
151,Pediatric Care Center,,,,
152,Primary Care Clinic,,,,
153,Regional Medical Center,,,,
154,Community Health Clinic,,,,
155,Pediatric Care Center,,,,
156,Primary Care Clinic,,,,
157,Oncology Treatment Center,,,,
158,Emergency Medical Center,,,,
159,Cardiology Specialty Center,,,,
160,Oncology Treatment Center,,,,
161,Pediatric Care Center,,,,
162,Surgical Specialty Center,,,,
163,Pediatric Care Center,,,,
164,Community Health Clinic,,,,
165,Northside Urgent Care,,,,
166,Emergency Medical Center,,,,
167,Northside Urgent Care,,,,
168,Cardiology Specialty Center,,,,
169,Pediatric Care Center,,,,
170,Community Health Clinic,,,,
171,Pediatric Care Center,,,,
172,Primary Care Clinic,,,,
173,Pediatric Care Center,,,,
174,Regional Medical Center,,,,
175,Oncology Treatment Center,,,,
176,Community Health Clinic,,,,
177,Surgical Specialty Center,,,,
178,Cardiology Specialty Center,,,,
179,Northside Urgent Care,,,,
180,Surgical Specialty Center,,,,
181,Cardiology Specialty Center,,,,
182,Pediatric Care Center,,,,
183,Pediatric Care Center,,,,
184,Pediatric Care Center,,,,
185,Primary Care Clinic,,,,
186,City General Hospital,,,,
187,Surgical Specialty Center,,,,
188,Regional Medical Center,,,,
189,Community Health Clinic,,,,
190,Community Health Clinic,,,,
191,Northside Urgent Care,,,,
192,Regional Medical Center,,,,
193,Emergency Medical Center,,,,
194,Primary Care Clinic,,,,
195,Emergency Medical Center,,,,
196,Regional Medical Center,,,,
197,Pediatric Care Center,,,,
198,Cardiology Specialty Center,,,,
199,Surgical Specialty Center,,,,
200,Oncology Treatment Center,,,,
201,Pediatric Care Center,,,,
202,Cardiology Specialty Center,,,,
203,Primary Care Clinic,,,,
204,Surgical Specialty Center,,,,
205,Primary Care Clinic,,,,
206,City General Hospital,,,,
207,Surgical Specialty Center,,,,
208,City General Hospital,,,,
209,Regional Medical Center,,,,
210,Cardiology Specialty Center,,,,
211,Cardiology Specialty Center,,,,
212,Pediatric Care Center,,,,
213,Regional Medical Center,,,,
